@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
2419,'2025/02/28 23:17:22:808',6,-0.980822,-0.098562,-0.186242,0.913582,-0.328013,0.274202,0,0,?,?,?,?
2420,'2025/02/28 23:17:22:819',6,-0.980988,-0.098468,-0.185855,0.914775,-0.325651,0.273557,0,0,?,?,?,?
2421,'2025/02/28 23:17:22:829',6,-0.98119,-0.098368,-0.185266,0.915917,-0.323414,0.272872,0,0,?,?,?,?
2422,'2025/02/28 23:17:22:840',6,-0.981327,-0.098524,-0.184562,0.91694,-0.321393,0.272133,0,0,?,?,?,?
2423,'2025/02/28 23:17:22:853',6,-0.981448,-0.098602,-0.183816,0.917878,-0.319543,0.27128,0,0,?,?,?,?
2424,'2025/02/28 23:17:22:860',6,-0.981434,-0.098608,-0.183066,0.918717,-0.317789,0.270339,0,0,?,?,?,?
2425,'2025/02/28 23:17:22:872',6,-0.981584,-0.098555,-0.182257,0.919424,-0.316165,0.269178,0,0,?,?,?,?
2426,'2025/02/28 23:17:22:881',6,-0.981734,-0.098573,-0.181491,0.919879,-0.314716,0.268001,0,0,?,?,?,?
2427,'2025/02/28 23:17:22:891',6,-0.981732,-0.098376,-0.180883,0.920287,-0.313444,0.266836,0,0,?,?,?,?
2428,'2025/02/28 23:17:22:901',6,-0.98174,-0.097944,-0.18036,0.920707,-0.312322,0.265674,0,0,?,?,?,?
2429,'2025/02/28 23:17:22:912',6,-0.981714,-0.097612,-0.179896,0.921147,-0.311256,0.264505,0,0,?,?,?,?
2430,'2025/02/28 23:17:22:922',6,-0.98163,-0.097244,-0.179581,0.921637,-0.310188,0.263333,0,0,?,?,?,?
2431,'2025/02/28 23:17:22:932',6,-0.981545,-0.096819,-0.179406,0.922195,-0.309061,0.262155,0,0,?,?,?,?
2432,'2025/02/28 23:17:22:943',6,-0.981415,-0.096527,-0.179324,0.922747,-0.307878,0.260969,0,0,?,?,?,?
2433,'2025/02/28 23:17:22:953',6,-0.981299,-0.096279,-0.179315,0.923305,-0.306649,0.259781,0,0,?,?,?,?
2434,'2025/02/28 23:17:22:963',6,-0.981213,-0.09598,-0.17949,0.923757,-0.305446,0.258622,0,0,?,?,?,?
2435,'2025/02/28 23:17:22:977',6,-0.981091,-0.095818,-0.179735,0.92417,-0.304245,0.257488,0,0,?,?,?,?
2436,'2025/02/28 23:17:22:985',6,-0.980964,-0.095683,-0.18002,0.924563,-0.303111,0.256364,0,0,?,?,?,?
2437,'2025/02/28 23:17:22:994',6,-0.980911,-0.095523,-0.180279,0.924958,-0.302119,0.255269,0,0,?,?,?,?
2438,'2025/02/28 23:17:23:017',6,-0.980893,-0.095423,-0.180479,0.925813,-0.300376,0.253183,0,0,?,?,?,?
2439,'2025/02/28 23:17:23:019',6,-0.980881,-0.09543,-0.180632,0.925813,-0.300376,0.253183,0,0,?,?,?,?
2440,'2025/02/28 23:17:23:027',6,-0.980898,-0.095523,-0.180711,0.926103,-0.299671,0.252244,0,0,?,?,?,?
2441,'2025/02/28 23:17:23:035',6,-0.980915,-0.095748,-0.180723,0.926103,-0.299671,0.252244,0,0,?,?,?,?
2442,'2025/02/28 23:17:23:046',6,-0.980878,-0.096095,-0.180721,0.926243,-0.299035,0.251369,0,0,?,?,?,?
2443,'2025/02/28 23:17:23:056',6,-0.980828,-0.096493,-0.180724,0.926373,-0.298403,0.250562,0,0,?,?,?,?
2444,'2025/02/28 23:17:23:065',6,-0.980867,-0.096884,-0.180658,0.926572,-0.297732,0.24986,0,0,?,?,?,?
2445,'2025/02/28 23:17:23:080',6,-0.980983,-0.097233,-0.180515,0.927174,-0.296357,0.248784,0,0,?,?,?,?
2446,'2025/02/28 23:17:23:087',6,-0.981105,-0.097589,-0.180379,0.927174,-0.296357,0.248784,0,0,?,?,?,?
2447,'2025/02/28 23:17:23:097',6,-0.981109,-0.097718,-0.180293,0.927532,-0.295686,0.248349,0,0,?,?,?,?
2448,'2025/02/28 23:17:23:118',6,-0.981064,-0.097769,-0.180191,0.928261,-0.294438,0.247754,0,0,?,?,?,?
2449,'2025/02/28 23:17:23:118',6,-0.981094,-0.097696,-0.180045,0.928261,-0.294438,0.247754,0,0,?,?,?,?
2450,'2025/02/28 23:17:23:127',6,-0.9812,-0.097467,-0.179973,0.928487,-0.294022,0.247538,0,0,?,?,?,?
2451,'2025/02/28 23:17:23:138',6,-0.981311,-0.097154,-0.179976,0.92863,-0.293698,0.247371,0,0,?,?,?,?
2452,'2025/02/28 23:17:23:148',6,-0.981414,-0.096844,-0.180047,0.928727,-0.293361,0.247284,0,0,?,?,?,?
2453,'2025/02/28 23:17:23:159',6,-0.981498,-0.096551,-0.180178,0.928741,-0.293108,0.24729,0,0,?,?,?,?
2454,'2025/02/28 23:17:23:168',6,-0.981549,-0.096236,-0.180319,0.928755,-0.29285,0.247376,0,0,?,?,?,?
2455,'2025/02/28 23:17:23:179',6,-0.981593,-0.09586,-0.180435,0.928788,-0.292617,0.247546,0,0,?,?,?,?
2456,'2025/02/28 23:17:23:189',6,-0.981665,-0.095388,-0.180512,0.928869,-0.292404,0.247735,0,0,?,?,?,?
2457,'2025/02/28 23:17:23:200',6,-0.981695,-0.094919,-0.180566,0.928991,-0.292169,0.247916,0,0,?,?,?,?
2458,'2025/02/28 23:17:23:216',6,-0.98168,-0.094838,-0.180604,0.929188,-0.291934,0.248075,0,0,?,?,?,?
2459,'2025/02/28 23:17:23:222',6,-0.981724,-0.094863,-0.180616,0.929415,-0.291679,0.248256,0,0,?,?,?,?
2460,'2025/02/28 23:17:23:230',6,-0.98185,-0.094935,-0.180584,0.929614,-0.291425,0.248451,0,0,?,?,?,?
2461,'2025/02/28 23:17:23:240',6,-0.982013,-0.095102,-0.180471,0.92979,-0.291171,0.248627,0,0,?,?,?,?
2462,'2025/02/28 23:17:23:255',6,-0.982146,-0.095359,-0.180352,0.929959,-0.291076,0.248713,0,0,?,?,?,?
2463,'2025/02/28 23:17:23:261',6,-0.982201,-0.095655,-0.180248,0.930112,-0.291093,0.24874,0,0,?,?,?,?
2464,'2025/02/28 23:17:23:271',6,-0.98221,-0.095943,-0.180109,0.930233,-0.291174,0.248732,0,0,?,?,?,?
2465,'2025/02/28 23:17:23:282',6,-0.982242,-0.096195,-0.179952,0.930233,-0.291174,0.248732,0,0,?,?,?,?
2466,'2025/02/28 23:17:23:292',6,-0.982249,-0.096442,-0.179806,0.930374,-0.291615,0.248633,0,0,?,?,?,?
2467,'2025/02/28 23:17:23:305',6,-0.982227,-0.096665,-0.179626,0.93045,-0.291818,0.248535,0,0,?,?,?,?
2468,'2025/02/28 23:17:23:313',6,-0.982254,-0.096817,-0.17939,0.930508,-0.292003,0.248367,0,0,?,?,?,?
2469,'2025/02/28 23:17:23:325',6,-0.982314,-0.096899,-0.179159,0.930559,-0.292166,0.248157,0,0,?,?,?,?
